1,"배송정책","기본배송료","3500","2021-12-06 16:38:07.0","2021-12-06 16:38:07.0"
2,"배송정책","무료 배송","30000","2021-12-06 16:38:07.0","2021-12-06 16:38:07.0"
3,"포인트 정책","가입 포인트","5000","2021-12-06 16:38:07.0","2021-12-06 16:38:07.0"
4,"포인트 정책","구매 포인트","1","2021-12-06 16:38:07.0","2021-12-06 16:38:07.0"
5,"주문 취소 정책","무통장 입금 시","3","2021-12-06 16:38:07.0","2021-12-06 16:38:07.0"
6,"공통 배송 안내 등록","PC","<p>※ 택배지역<br></p><ul class=""bul01 mt10"" style=""margin: 10px 0px 0px; padding: 0px; text-size-adjust: none; list-style: outside none none; border: 0px; color: rgb(50, 50, 50); font-family: "" noto="""" sans"",="""" 나눔고딕,="""" nanumgothic,="""" ""맑은="""" 고딕"",="""" ""malgun="""" gothic"",="""" apple-gothic,="""" 애플고딕,="""" dotum,="""" 돋움,="""" gulim,="""" 굴림,="""" sans-serif;""=""""><li style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;""="""">직배, 직배추가지역은 공휴일에도 배송되십니다.<br style=""text-size-adjust: none;"">택배지역은 뒤로 자동연기되십니다.</li><li style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;""="""">공통현관비번이 없을 경우 배송에 차질이 있을 수 있습니다.<br style=""text-size-adjust: none;"">(택배지역은 비번X)</li><li style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;""="""">제주도,도서산간지역은 배송이 2~3일 소요될 수 있습니다.<br style=""text-size-adjust: none;"">(강풍,폭설등 천재지변)</li><li style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;""="""">제주지역은 항공택배로 착불 2,000원의 배송비가 부과됩니다.</li><li class=""red"" style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;="""" color:="""" rgb(255,="""" 0,="""" 0)="""" !important;""="""">직배추가지역중에서도 외곽지역등 직배불가지역이 있을 수 있습니다.</li></ul>","2021-12-06 16:38:07.0","2021-12-06 16:59:31.0"
7,"공통 배송 안내 등록","Mobile","<p>※ 택배지역<br></p><ul class=""bul01 mt10"" style=""margin: 10px 0px 0px; padding: 0px; text-size-adjust: none; list-style: outside none none; border: 0px; color: rgb(50, 50, 50); font-family: "" noto="""" sans"",="""" 나눔고딕,="""" nanumgothic,="""" ""맑은="""" 고딕"",="""" ""malgun="""" gothic"",="""" apple-gothic,="""" 애플고딕,="""" dotum,="""" 돋움,="""" gulim,="""" 굴림,="""" sans-serif;""=""""><li style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;""="""">직배, 직배추가지역은 공휴일에도 배송되십니다.<br style=""text-size-adjust: none;"">택배지역은 뒤로 자동연기되십니다.</li><li style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;""="""">공통현관비번이 없을 경우 배송에 차질이 있을 수 있습니다.<br style=""text-size-adjust: none;"">(택배지역은 비번X)</li><li style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;""="""">제주도,도서산간지역은 배송이 2~3일 소요될 수 있습니다.<br style=""text-size-adjust: none;"">(강풍,폭설등 천재지변)</li><li style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;""="""">제주지역은 항공택배로 착불 2,000원의 배송비가 부과됩니다.</li><li class=""red"" style=""margin: 0px; padding: 2px 0px 2px 7px; text-size-adjust: none; list-style: outside none none; border: 0px; line-height: 16.8px; text-align: left; background-image: url("" ..="""" img="""" common="""" bul01.gif"");="""" background-position:="""" left="""" 8px;="""" background-size:="""" 3px;="""" background-repeat:="""" no-repeat;="""" background-attachment:="""" initial;="""" background-origin:="""" background-clip:="""" min-height:="""" 15px;="""" color:="""" rgb(255,="""" 0,="""" 0)="""" !important;""="""">직배추가지역중에서도 외곽지역등 직배불가지역이 있을 수 있습니다.</li></ul>","2021-12-06 16:38:07.0","2021-12-06 16:59:31.0"
8,"공통 교환 및 반품 안내 등록","PC","<p><span style=""color: rgb(51, 51, 51); font-family: "" malgun="""" gothic"",="""" ""맑은="""" 고딕"",="""" dotum,="""" 돋움,="""" 돋움체,="""" sans-serif;="""" font-size:="""" 13.3333px;="""" text-align:="""" justify;="""" text-indent:="""" -8px;""="""">일반적으로 소비자는 자신이 체결한 전자상거래 계약에 대해 그 계약의 내용을 불문하고 그 청약철회 및 계약해제의 기간(통상 7일) 내에는 청약철회 등을 자유롭게 할 수 있습니다(</span><a href=""http://www.law.go.kr/LSW/LsiJoLinkP.do?docType=JO&amp;lsNm=%EC%A0%84%EC%9E%90%EC%83%81%EA%B1%B0%EB%9E%98+%EB%93%B1%EC%97%90%EC%84%9C%EC%9D%98+%EC%86%8C%EB%B9%84%EC%9E%90%EB%B3%B4%ED%98%B8%EC%97%90+%EA%B4%80%ED%95%9C+%EB%B2%95%EB%A5%A0&amp;joNo=001700000&amp;languageType=KO&amp;paras=1"" title=""새창으로 열림"" target=""_blank"" style=""font-size: 13.3333px; line-height: 21.3333px; color: rgb(137, 137, 137); font-family: "" malgun="""" gothic"",="""" ""맑은="""" 고딕"",="""" dotum,="""" 돋움,="""" 돋움체,="""" sans-serif;="""" text-decoration-line:="""" none;="""" text-align:="""" justify;="""" text-indent:="""" -8px;""="""">「전자상거래 등에서의 소비자보호에 관한 법률」 제17조</a><span style=""color: rgb(51, 51, 51); font-family: "" malgun="""" gothic"",="""" ""맑은="""" 고딕"",="""" dotum,="""" 돋움,="""" 돋움체,="""" sans-serif;="""" font-size:="""" 13.3333px;="""" text-align:="""" justify;="""" text-indent:="""" -8px;""="""">제1항).</span>&nbsp;</p>","2021-12-06 16:38:07.0","2021-12-06 16:59:31.0"
9,"공통 교환 및 반품 안내 등록","Mobile","<p><span style=""color: rgb(51, 51, 51); font-family: "" malgun="""" gothic"",="""" ""맑은="""" 고딕"",="""" dotum,="""" 돋움,="""" 돋움체,="""" sans-serif;="""" font-size:="""" 13.3333px;="""" text-align:="""" justify;="""" text-indent:="""" -8px;""="""">일반적으로 소비자는 자신이 체결한 전자상거래 계약에 대해 그 계약의 내용을 불문하고 그 청약철회 및 계약해제의 기간(통상 7일) 내에는 청약철회 등을 자유롭게 할 수 있습니다(</span><a href=""http://www.law.go.kr/LSW/LsiJoLinkP.do?docType=JO&amp;lsNm=%EC%A0%84%EC%9E%90%EC%83%81%EA%B1%B0%EB%9E%98+%EB%93%B1%EC%97%90%EC%84%9C%EC%9D%98+%EC%86%8C%EB%B9%84%EC%9E%90%EB%B3%B4%ED%98%B8%EC%97%90+%EA%B4%80%ED%95%9C+%EB%B2%95%EB%A5%A0&amp;joNo=001700000&amp;languageType=KO&amp;paras=1"" title=""새창으로 열림"" target=""_blank"" style=""font-size: 13.3333px; line-height: 21.3333px; color: rgb(137, 137, 137); font-family: "" malgun="""" gothic"",="""" ""맑은="""" 고딕"",="""" dotum,="""" 돋움,="""" 돋움체,="""" sans-serif;="""" text-decoration-line:="""" none;="""" text-align:="""" justify;="""" text-indent:="""" -8px;""="""">「전자상거래 등에서의 소비자보호에 관한 법률」 제17조</a><span style=""color: rgb(51, 51, 51); font-family: "" malgun="""" gothic"",="""" ""맑은="""" 고딕"",="""" dotum,="""" 돋움,="""" 돋움체,="""" sans-serif;="""" font-size:="""" 13.3333px;="""" text-align:="""" justify;="""" text-indent:="""" -8px;""="""">제1항).</span>&nbsp;</p>","2021-12-06 16:38:07.0","2021-12-06 16:59:31.0"
10,"배송정책","배송불가 지역","[13127] 경기 성남시 수정구 수정로 346","2021-12-06 16:59:31.0","2021-12-06 16:59:31.0"
